time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-05-17T15:15:51.600Z,-44.38,169.83,5,4,ml,20,61.6,,,us,usp000fc5q,2014-11-07T01:32:28.978Z,"64 km ENE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2007-03-16T11:48:11.600Z,-44.02,169.61,5,4.2,ml,24,126.1,,,us,usp000f6u5,2014-11-07T01:31:52.965Z,"83 km NNE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2006-12-07T10:31:29.400Z,-44.37,168.21,7,4.4,ml,18,189.8,,,us,usp000ezqn,2014-11-07T01:31:05.848Z,"79 km NW of Arrowtown, New Zealand",earthquake,,,,,reviewed,wel,wel
2006-10-07T09:46:51.100Z,-44.46,168.25,4,4.8,ml,4,176.6,,,us,usp000eun1,2014-11-07T01:30:30.968Z,"69 km NW of Arrowtown, New Zealand",earthquake,,,,,reviewed,wel,wel
2006-10-02T10:29:03.300Z,-43.5,169.89,8,4.6,mb,32,60.1,,,us,usp000eub6,2014-11-07T01:30:29.100Z,"123 km SW of Hokitika, New Zealand",earthquake,,,,1,reviewed,wel,us
2006-10-02T09:02:26.500Z,-43.49,169.9,8,4.9,mb,31,62.3,,,us,usp000eub3,2014-11-07T01:30:29.088Z,"122 km SW of Hokitika, New Zealand",earthquake,,,,3,reviewed,wel,us
2006-10-02T07:48:52.400Z,-43.49,169.89,5,4.7,mb,22,143.1,,,us,usp000eub1,2014-11-07T01:30:29.080Z,"122 km SW of Hokitika, New Zealand",earthquake,,,,1,reviewed,wel,us
2006-05-23T20:49:06.900Z,-44.08,168.77,0,4,ml,11,111.9,,,us,usp000eht1,2014-11-07T01:29:10.031Z,"75 km NNW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2006-04-27T13:24:12.000Z,-43.28,170.48,10,4.1,ml,9,149.5,,,us,usp000efmd,2014-11-07T01:28:55.509Z,"74 km SSW of Hokitika, New Zealand",earthquake,,,,,reviewed,wel,wel
2006-04-27T05:17:52.800Z,-43.3,170.48,5,4.1,ml,23,147.6,,,us,usp000efkp,2014-11-07T01:28:55.421Z,"75 km SSW of Hokitika, New Zealand",earthquake,,,,,reviewed,wel,wel
2005-05-02T15:40:04.100Z,-43.94,169.01,14,5,mwc,70,59.8,,,us,usp000dps3,2022-05-02T17:18:50.065Z,"85 km N of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,hrv
2005-05-02T15:35:38.400Z,-43.95,169.02,13,5.4,mwc,206,29.8,,,us,usp000dps2,2022-05-02T17:18:48.956Z,"83 km N of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,hrv
2005-04-16T23:58:43.600Z,-44.37,169.53,8,4.6,mb,25,69.8,,,us,usp000dnj1,2014-11-07T01:25:36.950Z,"47 km NE of Wanaka, New Zealand",earthquake,,,,5,reviewed,wel,us
2005-04-02T02:07:50.500Z,-44.37,169.87,12,4.9,mwc,32,46.5,,,us,usp000dkyx,2016-11-10T01:04:01.771Z,"67 km ENE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,hrv
2005-03-16T01:28:45.500Z,-43.95,169.55,12,4.3,ml,40,128.9,,,us,usp000dja3,2014-11-07T01:25:14.817Z,"89 km NNE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2004-12-02T03:30:12.400Z,-44.06,168.82,9,4.7,mb,14,87,,,us,usp000d9sa,2014-11-07T01:24:11.485Z,"75 km NNW of Wanaka, New Zealand",earthquake,,,,1,reviewed,wel,us
2004-03-11T23:48:02.100Z,-44.04,169.66,33,4.2,ml,14,175.9,,,us,usp000cppt,2014-11-07T01:21:41.059Z,"83 km NNE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2004-01-09T22:52:02.000Z,-43.46,170.4,5,4.1,mb,16,72,,,us,usp000chht,2014-11-07T01:21:01.299Z,"94 km SSW of Hokitika, New Zealand",earthquake,,,,1,reviewed,wel,us
2004-01-09T18:17:11.600Z,-43.43,170.4,5,4.1,ml,6,200.1,,,us,usp000chh8,2014-11-07T01:21:01.216Z,"91 km SSW of Hokitika, New Zealand",earthquake,,,,,reviewed,wel,wel
2003-02-20T10:34:52.200Z,-44.24,170.28,5,4.1,ml,12,,,,us,usp000br2u,2014-11-07T01:17:50.019Z,"68 km W of Pleasant Point, New Zealand",earthquake,,,,,reviewed,wel,wel
2003-01-17T15:25:04.900Z,-44.05,168.82,8,4.4,ml,13,,,,us,usp000bnq7,2014-11-07T01:17:36.054Z,"76 km NNW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2002-09-24T08:28:58.800Z,-43.97,168.36,12,4,ml,5,,,,us,usp000bd0n,2014-11-07T01:16:34.296Z,"102 km NW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2002-06-02T04:46:40.800Z,-44.05,168.51,12,4.7,mb,20,,,,us,usp000b5cy,2014-11-07T01:15:44.654Z,"88 km NW of Wanaka, New Zealand",earthquake,,,,2,reviewed,wel,us
2002-05-26T09:39:32.120Z,-44.16,168.74,10,4.4,mb,16,,,1.15,us,usp000b4zz,2014-11-07T01:15:40.394Z,"68 km NNW of Wanaka, New Zealand",earthquake,,,,1,reviewed,us,us
2002-05-09T11:49:42.000Z,-43.87,168.56,12,4.7,mb,33,,,,us,usp000b40p,2014-11-07T01:15:36.044Z,"103 km NNW of Wanaka, New Zealand",earthquake,,,,1,reviewed,wel,us
2002-04-03T16:56:49.100Z,-44.05,168.56,12,4.5,ml,5,,,,us,usp000b1np,2014-11-07T01:15:20.600Z,"86 km NNW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2002-03-30T14:35:23.900Z,-43.78,168.14,12,4.4,ml,17,,,,us,usp000b1ca,2014-11-07T01:15:16.165Z,"130 km NW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2002-02-27T07:45:49.900Z,-43.97,168.33,5,4,ml,4,,,,us,usp000az9g,2014-11-07T01:14:58.290Z,"104 km NW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2002-02-24T06:37:37.200Z,-44.11,168.58,12,5.4,mwc,155,,,,us,usp000az2q,2022-05-02T15:45:01.350Z,"79 km NW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,hrv
2002-02-01T18:30:15.400Z,-43.59,169.44,11,4.1,ml,5,,,,us,usp000axkj,2014-11-07T01:14:49.776Z,"125 km N of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2002-01-14T23:45:46.300Z,-44.119,168.777,10,4.7,ml,16,,,1.19,us,usp000awg1,2014-11-07T01:14:41.785Z,"71 km NNW of Wanaka, New Zealand",earthquake,,,,,reviewed,us,wel
2001-12-28T08:15:14.600Z,-44.03,168.66,33,4.5,ml,7,,,,us,usp000avdw,2014-11-07T01:14:32.762Z,"84 km NNW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2001-12-08T01:54:08.500Z,-44.14,168.7,12,4.1,ml,6,,,,us,usp000au79,2014-11-07T01:14:26.963Z,"71 km NNW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2001-12-07T22:47:28.400Z,-43.82,168.08,12,4.2,ml,6,,,,us,usp000au6w,2014-11-07T01:14:26.936Z,"129 km NW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
